zip,population
94102,31176
94103,27170
94104,406
94105,5846
94107,26599
94108,13768
94109,55984
94110,69333
94111,3713
94112,79407
94114,31124
94115,33021
94116,43698
94117,39169
94118,38319
94119,0
94120,0
94121,41203
94122,56023
94123,23088
94124,33996
94125,0
94126,0
94127,19289
94128,69
94129,3183
94130,2880
94131,26881
94132,28129
94133,26237
94134,40798
94137,0
94139,0
94140,0
94141,0
94142,0
94143,0
94144,0
94145,0
94146,0
94147,0
94151,0
94158,4792
94159,0
94160,0
94161,0
94163,0
94164,0
94172,0
94177,0
94188,0
