zip,zpctile10,zpctile20,zpctile30,zpctile40,zpctile50,zpctile60,zpctile70,zpctile80,zpctile90,lini,diff
94115,416651,575000,648500,745083,850000,1025000,1275797,1637774,2640249,0.5961,6.336835865
94105,399000,450000,500581,573878,639000,739000,859681,1100000,1695000,0.5863,4.248120301
94109,327783,412500,495000,579500,689250,792202,967000,1250000,1897000,0.5856,5.787365422
94133,419000,549900,689000,798968,915000,1095000,1575000,1995000,2849000,0.5856,6.799522673
94111,398888,477929,560000,599000,649000,722149,989000,1395000,1850000,0.5799,4.637893343
94118,549000,685000,785000,865000,975000,1079000,1299000,1550000,2200000,0.5608,4.007285974
94123,569000,749000,950000,1195000,1395000,1634517,1950000,2513582,3300000,0.5567,5.799648506
94117,475000,575000,681750,799000,879000,995000,1199000,1499000,1904539,0.5491,4.009555789
94108,368000,420000,469000,537043,599750,699000,831706,1095000,1299000,0.5487,3.529891304
94121,487414,599000,667000,749000,817458,925000,1013250,1280000,1612213,0.5419,3.3076871
94132,257031,325160,380000,429000,485162,565000,665000,798000,976964,0.5365,3.800957861
94116,495000,549000,599000,639000,682708,725000,799000,889000,1095000,0.5283,2.212121212
94127,549000,649000,715500,797450,857788,939000,1040311,1195000,1450000,0.5264,2.641165756
94107,331818,411730,488750,542000,599000,670360,749000,850000,1049000,0.5248,3.161371595
94102,279136,349000,403100,475000,539500,587466,700000,829000,964470,0.5248,3.455197466
94103,365000,431323,475000,509125,561145,599000,665000,749000,905000,0.5235,2.479452055
94110,417000,507194,566385,619000,669000,744233,799722,895592,1102206,0.5222,2.643179856
94124,237000,279000,311151,339691,372120,400000,447744,504000,600000,0.5215,2.53164557
94114,519000,659065,788000,893443,988500,1099000,1240000,1450000,1700000,0.519,3.275529865
94122,467652,548400,599000,649950,699000,763699,811560,899000,1081004,0.5188,2.311556457
94131,310000,439000,597776,650000,729000,800000,899000,1077089,1299000,0.5177,4.190322581
94112,335115,397910,448000,485431,519000,550000,595000,642826,732193,0.5058,2.184900706
94134,325000,381098,418000,460000,499000,531444,580000,624120,690452,0.5037,2.124467692
